date,start,max,min,end
2017/8/4,19949.79,19984.51,19933.59,19952.33
2017/8/3,20066,20070.16,19985.4,20029.26
2017/8/2,20057.07,20113.73,20022.05,20080.04
2017/8/1,19907.08,20000.46,19904.72,19985.79
2017/7/31,19933.45,19983.9,19891.9,19925.18
2017/7/28,20048.46,20056.16,19926.6,19959.84
2017/7/27,20026.58,20176.39,20005.2,20079.64
2017/7/26,20098.14,20116,20016.58,20050.16
2017/7/25,19979.56,20036.31,19941.61,19955.2
2017/7/24,19973.67,20002.54,19901.88,19975.67
2017/7/21,20089.86,20135.33,20081.91,20099.75
2017/7/20,20046.9,20157.11,20032.23,20144.59
2017/7/19,19970.78,20032.46,19947.26,20020.86
2017/7/18,20074.41,20081.29,19943.14,19999.91
2017/7/14,20157.92,20163.67,20101.71,20118.86
2017/7/13,20177.28,20183.8,20062.27,20099.81
2017/7/12,20137.22,20153.04,20061.16,20098.38
2017/7/11,20073.86,20200.88,20070.67,20195.48
2017/7/10,20070.44,20127.76,20023.03,20080.98
2017/7/7,19856.65,19979.93,19856.65,19929.09
2017/7/6,20061.68,20078.88,19947.63,19994.06
2017/7/5,20015.07,20087.01,19888.9,20081.63
2017/7/4,20192.27,20197.16,19971.53,20032.35
2017/7/3,20056.32,20096.14,20030.61,20055.8
2017/6/30,20025.63,20044.01,19946.51,20033.43
2017/6/29,20260.87,20266.59,20197.38,20220.3
2017/6/28,20149.2,20224.3,20110.49,20130.41
2017/6/27,20229.12,20250.1,20185.19,20225.09
2017/6/26,20132.81,20196.38,20119.04,20153.35
2017/6/23,20152.58,20152.58,20089.54,20132.67
2017/6/22,20154.38,20191.42,20107.89,20110.51
2017/6/21,20192.16,20215.11,20117.79,20138.79
2017/6/20,20234.12,20318.11,20227.29,20230.41
2017/6/19,19974.3,20087.71,19949.88,20067.75
2017/6/16,19931.15,20015.16,19884.8,19943.26
2017/6/15,19815.54,19963.36,19755.34,19831.82
2017/6/14,19974.56,20009.93,19879.6,19883.52
2017/6/13,19859.81,19929.03,19850.86,19898.75
2017/6/12,19920.77,19949.07,19837.64,19908.58
2017/6/9,19953.06,20096.01,19927.07,20013.26
2017/6/8,20048.28,20061.22,19896.35,19909.26
2017/6/7,19951.68,20023.24,19908.07,19984.62
2017/6/6,20122.26,20152.95,19948.02,19979.9
2017/6/5,20135.42,20224.54,20104.13,20170.82
2017/6/2,19970.23,20239.81,19967,20177.28
2017/6/1,19692.16,19887.66,19686.32,19860.03
2017/5/31,19630.33,19673.51,19589.25,19650.57
2017/5/30,19681.11,19691.44,19570.13,19677.85
2017/5/29,19697.18,19736.62,19627.19,19682.57
2017/5/26,19798.49,19801.59,19686.49,19686.84
2017/5/25,19737.21,19850.93,19720.12,19813.13
2017/5/24,19777.56,19782.81,19690.1,19742.98
2017/5/23,19647.74,19693.02,19585.54,19613.28
2017/5/22,19670.48,19722.93,19618.73,19678.28
2017/5/19,19591.41,19628.64,19497.29,19590.76
2017/5/18,19556.99,19601.53,19449.73,19553.86
2017/5/17,19806.78,19842.78,19764.63,19814.88
2017/5/16,19953.06,19998.49,19862.41,19919.82
2017/5/15,19753.46,19869.85,19740.63,19869.85
2017/5/12,19941.64,19941.64,19809.91,19883.9
2017/5/11,19943.95,19989.94,19906.35,19961.55
2017/5/10,19890.56,19938.53,19866.3,19900.09
2017/5/9,19915.64,19917.45,19838.71,19843
2017/5/8,19709.01,19929.48,19705.13,19895.7
2017/5/2,19335.72,19464.3,19335.02,19445.7
2017/5/1,19154.03,19311.21,19144.62,19310.52
2017/4/28,19240.65,19264.57,19164.68,19196.74
2017/4/27,19205.59,19281.7,19199.59,19251.87
2017/4/26,19184.92,19289.43,19170.86,19289.43
2017/4/25,18872.56,19109.76,18867.19,19079.33
2017/4/24,18890.38,18910.33,18840.13,18875.88
2017/4/21,18591.82,18648.28,18542.42,18620.75
2017/4/20,18446.39,18523.4,18420.82,18430.49
2017/4/19,18327.33,18467.73,18327.33,18432.2
2017/4/18,18497.38,18547.46,18362.73,18418.59
2017/4/17,18239.84,18361.44,18224.68,18355.26
2017/4/14,18531.91,18531.91,18285.73,18335.63
2017/4/13,18391.72,18455.25,18304.72,18426.84
2017/4/12,18592.1,18602.5,18460.59,18552.61
2017/4/11,18717.55,18767.7,18661.86,18747.87
2017/4/10,18800.22,18850.8,18762.7,18797.88
2017/4/7,18714.98,18785.73,18517.43,18664.63
2017/4/6,18754.37,18797.44,18532.65,18597.06
2017/4/5,18900.7,18941.94,18773.94,18861.27
2017/4/4,18933.82,18947.33,18703.63,18810.25
2017/4/3,18988,19068.62,18920.52,18983.23
2017/3/31,19170.42,19210.92,18909.26,18909.26
2017/3/30,19150.82,19218.08,19043.48,19063.22
2017/3/29,19216.78,19251.3,19164.61,19217.48
2017/3/28,19159.07,19203.64,19113.44,19202.87
2017/3/27,19071.19,19086.89,18932.09,18985.59
2017/3/24,19066.35,19296.05,19060.64,19262.53
2017/3/23,19048.84,19105.11,18973.75,19085.31
2017/3/22,19146.62,19183.27,19026.53,19041.38
